Country,Membership
Afghanistan,Asia
Albania,Europe
Albania,NATO
Algeria,Africa
Algeria,OPEC
Andorra,Europe
Angola,Africa
Angola,OPEC
Antigua,North America
Argentina,South America
Armenia,Europe
Armenia,Prev. Soviet Rep.
Australia,ANZUS
Australia,Australia & Pacific
Australia,OECD
Austria,EU
Austria,Europe
Austria,Eurozone
Austria,OECD
Azerbaijan,Europe
Azerbaijan,Prev. Soviet Rep.
Bahamas,North America
Bahrain,Asia
Bahrain,Middle east
Bangladesh,Asia
Belarus,Europe
Belarus,Prev. Soviet Rep.
Belgium,EU
Belgium,Europe
Belgium,Eurozone
Belgium,NATO
Belgium,OECD
Belize,North America
Benin,Africa
Bhutan,Asia
Bolivia,South America
Bosnia-Herzegovina,Europe
Botswana,Africa
Brazil,South America
Brunei,ASEAN
Brunei,Asia
Bulgaria,EU
Bulgaria,Europe
Bulgaria,NATO
Burkina Faso,Africa
Burma,Asia
Burma,ASEAN
Burundi,Africa
Cambodia,Asia
Cambodia,ASEAN
Cameroon,Africa
Canada,G8
Canada,NAFTA
Canada,NATO
Canada,North America
Canada,OECD
Central African Republic,Africa
Chile,South America
Chile,OECD
China,Asia
Colombia,South America
Congo Democratic Republic,Africa
Congo Republic,Africa
Costa Rica,North America
Croatia,Europe
Coratia,NATO
Cuba,North America
Cyprus,EU
Cyprus,Asia
Cyprus,Eurozone
Czechia,EU
Czechia,Europe
Czechia,NATO
Czechia,OECD
Denmark,EU
Denmark,Europe
Denmark,NATO
Denmark,OECD
Djibouti,Africa
Dominica,South America
Dominican Republic,North America
Ecuador,OPEC
Ecuador,South America
Egypt,Africa
Egypt,Asia
Egypt,Middle east
El Salvador,North America
Equatorial Guinea,Africa
Eritrea,Africa
Estonia,EU
Estonia,Europe
Estonia,Eurozone
Estonia,Prev. Soviet Rep.
Estonia,NATO
Estonia,OECD
Ethiopia,Africa
Fiji,Australia & Pacific
Finland,EU
Finland,Europe
Finland,Eurozone
Finland,OECD
France,EU
France,Europe
France,Eurozone
France,G8
France,NATO
France,OECD
French Guyana,South America
Gabon,Africa
Gambia,Africa
Georgia,Europe
Georgia,Prev. Soviet Rep.
Germany,EU
Germany,Europe
Germany,Eurozone
Germany,G8
Germany,NATO
Germany,OECD
Ghana,Africa
Great Britain,EU
Great Britain,Europe
Great Britain,G8
Great Britain,NATO
Great Britain,OECD
Greece,EU
Greece,Europe
Greece,Eurozone
Greece,NATO
Greece,OECD
Grenada,North America
Guadeloupe,North America
Guatemala,North America
Guinea,Africa
Guinea-Bissau,Africa
Guyana,South America
Haïti,North America
Honduras,North America
Hungary,EU
Hungary,Europe
Hungary,NATO
Hungary,OECD
Iceland,EFTA
Iceland,Europe
Iceland,NATO
Iceland,OECD
India,Asia
Indonesia,ASEAN
Indonesia,Asia
Iran,Asia
Iran,Middle east
Iran,OPEC
Iraq,Asia
Iraq,Middle east
Iraq,OPEC
Ireland,EU
Ireland,Europe
Ireland,Eurozone
Ireland,OECD
Israel,Asia
Israel,Middle east
Israel,OECD
Italy,EU
Italy,Europe
Italy,Eurozone
Italy,G8
Italy,NATO
Italy,OECD
Ivory coast,Africa
Jamaica,North America
Japan,Asia
Japan,G8
Japan,OECD
Jordan,Asia
Jordan,Middle east
Kazakhstan,Asia
Kazakhstan,Europe
Kazakhstan,Prev. Soviet Rep.
Kenya,Africa
Kiribati,Australia & Pacific
Kuwait,Asia
Kuwait,Middle east
Kuwait,OPEC
Kyrgyzstan,Asia
Kyrgyzstan,Prev. Soviet Rep.
Laos,Asia
Laos,ASEAN
Latvia,EU
Latvia,Europe
Latvia,Prev. Soviet Rep.
Latvia,NATO
Lebanon,Asia
Lebanon,Middle east
Lesotho,Africa
Liberia,Africa
Libya,Africa
Libya,OPEC
Liechtenstein,Europe
Liechtenstein,EFTA
Lithuania,EU
Lithuania,Europe
Lithuania,Prev. Soviet Rep.
Lithuania,NATO
Luxembourg,EU
Luxembourg,Europe
Luxembourg,Eurozone
Luxembourg,NATO
Luxembourg,OECD
Macedonia,Europe
Madagascar,Africa
Malawi,Africa
Malaysia,ASEAN
Malaysia,Asia
Maldives,Asia
Mali,Africa
Malta,EU
Malta,Europe
Malta,Eurozone
Marshall Islands,Australia & Pacific
Martinique,North America
Mauritania,Africa
Mauritius,Africa
Mexico,NAFTA
Mexico,North America
Mexico,OECD
Micronesia,Australia & Pacific
Moldavia,Europe
Moldavia,Prev. Soviet Rep.
Monaco,Europe
Mongolia,Asia
Montenegro,Europe
Morocco,Africa
Mozambique,Africa
Namibia,Africa
Nauru,Australia & Pacific
Nepal,Asia
Netherlands,EU
Netherlands,Europe
Netherlands,Eurozone
Netherlands,NATO
Netherlands,OECD
New Zealand,ANZUS
New Zealand,Australia & Pacific
New Zealand,OECD
Nicaragua,North America
Niger,Africa
Nigeria,Africa
Nigeria,OPEC
North Korea,Asia
Norway,EFTA
Norway,Europe
Norway,NATO
Norway,OECD
Oman,Asia
Pakistan,Asia
Panama,North America
Papua New Guinea,Australia & Pacific
Paraguay,South America
Peru,South America
Philippines,Asia
Philippines,ASEAN
Poland,EU
Poland,Europe
Poland,NATO
Poland,OECD
Portugal,EU
Portugal,Europe
Portugal,Eurozone
Portugal,NATO
Portugal,OECD
Qatar,Asia
Qatar,OPEC
Romania,EU
Romania,Europe
Romania,NATO
Russia,Asia
Russia,Europe
Russia,Prev. Soviet Rep.
Russia,G8
Rwanda,Africa
Saint Kitts-Nevis,North America
Saint Lucia,North America
Saint Vincent,North America
San Marino,Europe
Saudi Arabia,Asia
Saudi Arabia,Middle east
Saudi Arabia,OPEC
Senegal,Africa
Serbia,Europe
Sierra Leone,Africa
Singapore,ASEAN
Singapore,Asia
Slovakia,EU
Slovakia,Europe
Slovakia,Eurozone
Slovakia,NATO
Slovakia,OECD
Slovenia,EU
Slovenia,Europe
Slovenia,Eurozone
Slovenia,NATO
Slovenia,OECD
Solomon Islands,Australia & Pacific
Somalia,Africa
South Africa,Africa
South Korea,Asia
South Korea,OECD
Spain,EU
Spain,Europe
Spain,Eurozone
Spain,NATO
Spain,OECD
Sri Lanka,Asia
Sudan,Africa
Suriname,South America
Swaziland,Africa
Sweden,EU
Sweden,Europe
Sweden,OECD
Switzerland,EFTA
Switzerland,Europe
Switzerland,OECD
Syria,Asia
Syria,Middle east
Taiwan,Asia
Tajikistan,Asia
Tajikistan,Prev. Soviet Rep.
Tanzania,Africa
Tchad,Africa
Thailand,ASEAN
Thailand,Asia
Togo,Africa
Tonga,Australia & Pacific
Trinidad and Tobago,North America
Tunisia,Africa
Turkey,Asia
Turkey,Europe
Turkey,NATO
Turkey,OECD
Turkmenistan,Asia
Turkmenistan,Prev. Soviet Rep.
Tuvalu,Australia & Pacific
U.S.A.,ANZUS
U.S.A.,G8
U.S.A.,NAFTA
U.S.A.,NATO
U.S.A.,North America
U.S.A.,OECD
Uganda,Africa
Ukraine,Europe
Ukraine,Prev. Soviet Rep.
United Arab Emirates,Asia
United Arab Emirates,Middle east
United Arab Emirates,OPEC
Uruguay,South America
Uzbekistan,Asia
Uzbekistan,Prev. Soviet Rep.
Vanuatu,Australia & Pacific
Vatican,Europe
Venezuela,OPEC
Venezuela,South America
Vietnam,Asia
Vietnam,ASEAN
West Samoa,Australia & Pacific
Western Sahara,Africa
Yemen,Asia
Yemen,Middle east
Zambia,Africa
Zimbabwe,Africa
